Date,Open,High,Low,Close,Volume
06/04/2025,"168.28","169.58","167.80","169.39","18,508,740"
06/03/2025,"168.87","169.80","166.68","167.71","25,386,711"
06/02/2025,"169.01","171.06","168.65","170.37","24,742,881"
05/30/2025,"172.41","173.44","168.53","172.85","36,258,246"
05/29/2025,"175.00","175.40","171.78","172.96","21,233,590"
05/28/2025,"173.98","176.48","173.01","173.38","25,999,230"
05/27/2025,"171.30","174.29","171.21","173.98","24,341,330"
05/23/2025,"170.28","171.21","169.26","169.59","24,963,650"
05/22/2025,"173.35","178.13","171.88","171.98","45,024,078"
05/21/2025,"164.95","174.53","164.89","170.06","45,567,578"
05/20/2025,"167.76","169.68","164.26","165.32","33,563,273"
05/19/2025,"165.72","167.95","165.42","167.87","21,374,689"
05/16/2025,"168.93","170.65","166.95","167.43","36,271,379"
05/15/2025,"167.14","167.51","163.84","165.40","22,717,551"
05/14/2025,"161.31","168.34","160.93","166.81","31,769,211"
05/13/2025,"159.92","162.06","157.58","160.89","24,944,270"
05/12/2025,"159.10","160.44","157.89","159.58","31,884,900"
05/09/2025,"155.55","156.43","153.83","154.38","22,871,039"
05/08/2025,"155.92","157.41","154.10","155.75","38,387,512"
05/07/2025,"166.07","166.99","149.49","152.80","78,900,430"
05/06/2025,"163.96","166.74","163.13","165.20","10,691,950"
05/05/2025,"164.52","167.10","164.47","166.05","15,309,340"
