Date,Open,High,Low,Close,Volume
06/04/2025,"669.32","689.00","668.57","687.95","14,031,930"
06/03/2025,"671.45","675.58","665.03","666.85","11,585,030"
06/02/2025,"644.39","673.26","644.26","670.90","15,766,260"
05/30/2025,"642.50","649.41","632.78","647.49","16,240,950"
05/29/2025,"651.65","653.32","639.50","645.05","8,883,436"
05/28/2025,"642.60","650.88","642.55","643.58","9,042,874"
05/27/2025,"635.41","643.08","632.75","642.32","9,508,367"
05/23/2025,"624.00","632.45","622.65","627.06","8,454,067"
05/22/2025,"634.05","643.25","630.71","636.57","8,228,443"
05/21/2025,"631.79","646.61","630.17","635.50","11,464,570"
05/20/2025,"636.01","639.35","632.26","637.10","6,743,473"
05/19/2025,"628.25","643.00","627.80","640.43","9,592,374"
05/16/2025,"637.96","640.44","626.15","640.34","18,518,971"
05/15/2025,"654.28","657.31","638.58","643.88","14,341,840"
05/14/2025,"661.21","662.67","654.31","659.36","12,348,180"
05/13/2025,"645.55","660.92","642.83","656.03","18,570,820"
05/12/2025,"630.92","640.39","621.03","639.43","21,965,090"
05/09/2025,"603.72","606.97","591.71","592.49","10,427,290"
05/08/2025,"606.29","611.30","596.62","598.01","14,622,810"
05/07/2025,"590.36","603.08","586.67","596.81","13,160,980"
05/06/2025,"592.53","596.03","586.58","587.31","10,600,650"
05/05/2025,"591.22","603.21","588.05","599.27","13,887,720"
